Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
1996,Apr,50,94,65,65,55.3,73,64.2,0.42,0.31
1997,Oct,52,97,68,70,60.2,76.9,68.5,0,0
1997,Nov,48,96,66,59,54.9,71.4,63.2,2.66,0.79
1997,Dec,39,78,55,58,47.5,66.3,56.9,3.93,1.51
1997,Jan,45,77,60,54,50.6,63.9,57.3,5.12,1.2
1997,Feb,46,80,60,60,50,67.3,58.7,0.05,0.04
1997,Mar,45,87,57,59,52,67.7,59.9,0,0
1997,Apr,48,85,61,63,54.2,69.3,61.8,0,0
1998,Oct,54,91,62,68,57.4,73.9,65.6,0,0
1998,Nov,47,78,56,60,51.2,68.2,59.7,1.89,1.3
1998,Dec,37,83,55,54,45.8,65.3,55.5,0.74,0.47
1998,Jan,40,77,56,57,49.5,62.9,56.2,3.71,1.7
1998,Feb,43,69,54,58,48.6,61.6,55.1,13.79,3.1
1998,Mar,42,78,56,57,51.1,64.9,58,3.37,1.39
1998,Apr,42,74,57,56,50.5,64,57.2,1,0.74
1999,Oct,50,95,63,64,59.2,76.9,68.1,0,0
1999,Nov,47,81,59,63,53.6,67.5,60.5,0.28,0.27
1999,Dec,44,83,55,59,48.6,69.8,59.2,0,0
1999,Jan,41,80,57,56,48.3,66,57.1,1.19,0.4
1999,Feb,37,77,56,57,48.5,64.4,56.5,0.5,0.19
1999,Mar,43,70,54,55,49.2,62.1,55.7,2.12,0.88
1999,Apr,43,87,60,56,51.5,65.7,58.6,2.23,1.35
2000,Oct,45,80,64,62,57.9,69.4,63.6,1.12,0.59
2000,Nov,42,79,57,60,48.7,67.5,58.1,0,0
2000,Dec,44,80,57,58,49.3,67.5,58.4,0,0
2000,Jan,41,77,60,58,51,65.8,58.4,0.85,0.61
2000,Feb,45,79,56,57,51.4,64.1,57.7,4.71,1.18
2000,Mar,43,84,56,56,51.3,64.5,57.9,2.39,1.14
2000,Apr,50,80,59,60,54.8,67.1,61,1.88,1.32
2001,Oct,56,80,64,66,59.6,70.7,65.2,0.04,0.04
2001,Nov,44,78,62,57,53.7,67.5,60.6,1.34,0.6
2001,Dec,42,80,55,54,47.7,63.5,55.6,1.25,0.32
2001,Jan,41,82,54,53,46.3,63.5,54.9,4.68,2.1
2001,Feb,41,84,57,51,47.4,60.9,54.2,7.3,2
